date,usage,category
2023-06-27,192.41,High
2023-06-28,159.27,Medium
2023-06-29,163.36,Medium
2023-06-30,126.46,Low
2023-07-01,117.7,Low
2023-07-02,139.29,Medium
2023-07-03,178.55,High
2023-07-04,177.56,High
2023-07-05,170.98,High
2023-07-06,142.81,Medium
2023-07-07,121.4,Low
2023-07-08,119.73,Low
2023-07-09,136.77,Medium
2023-07-10,171.19,High
2023-07-11,190.28,High
2023-07-12,167.9,Medium
2023-07-13,127.55,Low
2023-07-14,125.78,Low
2023-07-15,133.97,Medium
2023-07-16,145.01,Medium
2023-07-17,179.11,High
2023-07-18,184.23,High
2023-07-19,156.26,Medium
2023-07-20,145.51,Medium
2023-07-21,131.58,Medium
2023-07-22,142.87,Medium
2023-07-23,166.31,Medium
2023-07-24,165.72,Medium
2023-07-25,176.19,High
2023-07-26,174.76,High
2023-07-27,148.99,Medium
2023-07-28,133.05,Medium
2023-07-29,172.49,High
2023-07-30,163.4,Medium
2023-07-31,192.78,High
2023-08-01,197.03,High
2023-08-02,178.05,High
2023-08-03,142.62,Medium
2023-08-04,137.41,Medium
2023-08-05,128.16,Low
2023-08-06,157.25,Medium
2023-08-07,178.49,High
2023-08-08,190.23,High
2023-08-09,196.6,High
2023-08-10,129.03,Low
2023-08-11,138.6,Medium
2023-08-12,121.68,Low
2023-08-13,156.82,Medium
2023-08-14,196.16,High
2023-08-15,191.98,High
2023-08-16,164.6,Medium
2023-08-17,142.47,Medium
2023-08-18,140.46,Medium
2023-08-19,132.43,Medium
2023-08-20,165.63,Medium
2023-08-21,187.65,High
2023-08-22,186.74,High
2023-08-23,198.74,High
2023-08-24,157.88,Medium
2023-08-25,115.34,Low
2023-08-26,143.52,Medium
2023-08-27,158.77,Medium
2023-08-28,197.64,High
2023-08-29,187.26,High
2023-08-30,178.08,High
2023-08-31,158.52,Medium
2023-09-01,146.17,Medium
2023-09-02,131.58,Medium
2023-09-03,163.96,Medium
2023-09-04,186.29,High
2023-09-05,190.57,High
2023-09-06,198.8,High
2023-09-07,159.44,Medium
2023-09-08,126.82,Low
2023-09-09,154.68,Medium
2023-09-10,190.45,High
2023-09-11,203.29,High
2023-09-12,183.83,High
2023-09-13,178.23,High
2023-09-14,169.98,Medium
2023-09-15,134.28,Medium
2023-09-16,151.86,Medium
2023-09-17,178.9,High
2023-09-18,185.61,High
2023-09-19,200.36,High
2023-09-20,152.58,Medium
2023-09-21,148.99,Medium
2023-09-22,140.75,Medium
2023-09-23,136.87,Medium
2023-09-24,189.4,High
2023-09-25,182.51,High
2023-09-26,198.47,High
2023-09-27,188.23,High
2023-09-28,175.57,High
2023-09-29,130.84,Medium
2023-09-30,162.9,Medium
2023-10-01,175.1,High
2023-10-02,188.91,High
2023-10-03,209.42,High
2023-10-04,190.83,High
2023-10-05,157.08,Medium
2023-10-06,147.82,Medium
2023-10-07,149.34,Medium
2023-10-08,178.06,High
2023-10-09,207.27,High
2023-10-10,222.58,High
2023-10-11,178.39,High
2023-10-12,186.34,High
2023-10-13,129.53,Low
2023-10-14,153.6,Medium
2023-10-15,184.73,High
2023-10-16,205.39,High
2023-10-17,202.42,High
2023-10-18,190.61,High
2023-10-19,162.0,Medium
2023-10-20,145.08,Medium
2023-10-21,165.54,Medium
2023-10-22,184.34,High
2023-10-23,197.57,High
2023-10-24,219.56,High
2023-10-25,197.68,High
2023-10-26,176.98,High
2023-10-27,159.19,Medium
2023-10-28,150.67,Medium
2023-10-29,177.09,High
2023-10-30,213.89,High
2023-10-31,218.59,High
2023-11-01,196.32,High
2023-11-02,171.95,High
2023-11-03,167.59,Medium
2023-11-04,154.97,Medium
2023-11-05,190.09,High
2023-11-06,206.32,High
2023-11-07,212.24,High
2023-11-08,209.44,High
2023-11-09,180.95,High
2023-11-10,164.88,Medium
2023-11-11,175.86,High
2023-11-12,186.75,High
2023-11-13,217.09,High
2023-11-14,213.23,High
2023-11-15,203.62,High
2023-11-16,173.32,High
2023-11-17,159.63,Medium
2023-11-18,170.68,High
2023-11-19,180.28,High
2023-11-20,233.12,High
2023-11-21,208.2,High
2023-11-22,190.16,High
2023-11-23,188.13,High
2023-11-24,168.5,Medium
2023-11-25,172.9,High
2023-11-26,196.67,High
2023-11-27,213.99,High
2023-11-28,211.21,High
2023-11-29,204.98,High
2023-11-30,171.7,High
2023-12-01,172.26,High
2023-12-02,167.11,Medium
2023-12-03,184.05,High
2023-12-04,212.82,High
2023-12-05,226.23,High
2023-12-06,200.51,High
2023-12-07,172.17,High
2023-12-08,166.87,Medium
2023-12-09,172.95,High
2023-12-10,189.16,High
2023-12-11,213.25,High
2023-12-12,226.35,High
2023-12-13,193.59,High
2023-12-14,168.24,Medium
2023-12-15,159.17,Medium
2023-12-16,170.29,High
2023-12-17,199.26,High
2023-12-18,234.64,High
2023-12-19,234.53,High
2023-12-20,208.4,High
2023-12-21,184.05,High
2023-12-22,158.25,Medium
2023-12-23,174.16,High
2023-12-24,195.19,High
2023-12-25,225.03,High
2023-12-26,219.6,High
2023-12-27,217.11,High
2023-12-28,201.49,High
2023-12-29,169.12,Medium
2023-12-30,180.29,High
2023-12-31,206.9,High
